loss,acc,test_loss,test_acc
1.00818,0.750,0.93565,0.67750
0.70906,0.750,0.99300,0.67125
0.87283,0.625,0.88785,0.70750
0.73800,0.750,0.96462,0.67812
0.45876,0.938,0.92790,0.69000
1.17538,0.688,0.91153,0.68812
1.62719,0.438,0.89941,0.68875
1.04884,0.750,0.94941,0.68063
0.84407,0.625,0.97153,0.67312
0.71141,0.625,0.92311,0.67875
0.91744,0.812,0.93292,0.68250
1.55730,0.688,0.92687,0.69125
1.08868,0.688,0.99938,0.66625
0.44753,0.875,1.03911,0.65125
0.92804,0.688,0.95231,0.68000
1.23470,0.562,0.96848,0.67250
0.78737,0.812,0.92856,0.69625
1.28413,0.500,0.92068,0.68625
0.38145,0.875,0.90381,0.68875
1.21686,0.562,0.92159,0.67937
1.00651,0.812,0.92015,0.69000
1.18489,0.688,0.89693,0.70562
1.16865,0.438,0.91269,0.68875
0.53956,0.812,0.95466,0.67937
0.67257,0.875,0.92649,0.68375
1.04051,0.688,0.92719,0.68188
0.58652,0.812,0.96609,0.67000
0.94873,0.750,0.88945,0.70500
0.53220,0.750,0.89642,0.71125
0.43569,0.812,0.88166,0.70875
0.86256,0.750,0.87835,0.71313
0.72984,0.812,0.95908,0.66625
0.55918,0.875,0.84383,0.71062
0.48448,0.812,0.88142,0.69312
0.35327,1.000,0.92132,0.70500
1.03856,0.688,0.90359,0.70875
0.87661,0.750,0.95273,0.67750
1.19795,0.688,0.92185,0.69188
0.26640,0.938,0.85902,0.71062
0.37961,0.875,0.90076,0.69375
0.86484,0.625,0.91452,0.68500
0.85722,0.750,0.89516,0.69125
0.86285,0.750,0.90329,0.69750
0.75790,0.688,0.89426,0.70625
1.30501,0.625,0.90124,0.71688
0.73969,0.750,0.91715,0.69375
0.37358,0.812,0.92305,0.68875
0.81705,0.500,0.93748,0.68437
1.13586,0.500,0.87898,0.71625
0.93462,0.875,0.87223,0.72125
0.55272,0.812,0.91480,0.70625
0.77845,0.750,0.87807,0.70188
0.56141,0.812,0.94581,0.69563
0.94290,0.750,0.87524,0.71313
0.62062,0.812,0.88144,0.70625
0.61134,0.750,0.90025,0.69625
0.97582,0.750,0.84823,0.71250
0.61581,0.812,0.90922,0.68750
0.93294,0.688,0.85478,0.72250
0.59970,0.875,0.85279,0.72688
1.44246,0.562,0.89967,0.70375
0.95073,0.750,0.83578,0.72688
1.73209,0.500,0.88019,0.73000
0.61832,0.812,0.95880,0.68937
0.47306,0.938,0.88911,0.72250
0.42161,0.875,0.85168,0.70750
1.27445,0.750,0.88571,0.69812
0.28185,0.875,0.83872,0.71875
1.55682,0.562,0.87718,0.70750
0.84203,0.750,0.91377,0.69375
0.69688,0.750,0.92358,0.67937
0.32242,0.938,0.91556,0.69000
0.93068,0.688,0.83517,0.71250
0.33873,0.938,0.89847,0.68750
1.76969,0.438,0.90222,0.69937
0.84807,0.688,0.90291,0.69750
1.25405,0.625,0.88036,0.69563
1.04221,0.688,0.85820,0.71688
1.14458,0.625,0.88040,0.70937
1.10272,0.688,0.93112,0.68437
0.35586,0.938,0.86868,0.72188
0.76952,0.750,0.91688,0.69188
1.12959,0.750,0.89939,0.70312
0.73133,0.812,0.90133,0.70562
0.88494,0.688,0.91998,0.70562
0.79536,0.812,0.88438,0.71688
0.89915,0.688,0.88619,0.70125
0.79061,0.688,0.86664,0.71062
1.87165,0.562,0.85146,0.72250
0.60447,0.750,0.88580,0.70562
0.59979,0.812,0.89180,0.69563
1.08381,0.625,0.88594,0.70063
0.79369,0.812,0.86572,0.71625
0.94265,0.562,0.87601,0.71562
0.50188,0.875,0.81874,0.73500
0.50802,0.812,0.92725,0.70500
0.68243,0.688,0.88651,0.71062
0.73641,0.750,0.93338,0.70188
0.26020,1.000,0.89386,0.71562
0.40074,0.812,0.86973,0.71562
0.83701,0.625,0.85499,0.71562
0.84227,0.688,0.86014,0.71250
0.65650,0.812,0.90523,0.70312
1.04343,0.688,0.90345,0.69937
0.70434,0.812,0.86525,0.72000
0.67080,0.750,0.87602,0.70375
0.91659,0.688,0.84661,0.72313
0.59509,0.875,0.86100,0.73813
0.51760,0.750,0.85779,0.72250
0.46504,0.875,0.87367,0.71813
0.58775,0.750,0.84175,0.72000
0.48415,0.750,1.00347,0.66938
0.81125,0.750,0.92342,0.68875
0.55238,0.750,0.87059,0.70375
0.55024,0.812,0.84242,0.72500
1.11691,0.625,0.84418,0.72000
0.51368,0.875,0.84173,0.71500
0.56523,0.750,0.82543,0.73500
0.67086,0.750,0.89846,0.70000
0.84123,0.812,0.82245,0.71750
1.15453,0.438,0.84479,0.72562
0.49605,0.812,0.81731,0.72813
0.42708,0.875,0.86734,0.72125
0.53264,0.875,0.89742,0.71188
0.66639,0.625,0.83381,0.72750
0.56424,0.812,0.85614,0.71875
0.38561,0.938,0.87358,0.71188
0.51011,0.875,0.81618,0.73313
0.69703,0.812,0.86449,0.70875
0.65725,0.750,0.84559,0.71562
0.70440,0.812,0.87491,0.71062
0.40788,0.875,0.84282,0.72688
0.54757,0.750,0.89858,0.70625
0.74238,0.625,0.81819,0.73500
0.41963,0.812,0.85128,0.71937
0.60969,0.750,0.81028,0.73250
0.64573,0.688,0.83230,0.71813
0.59142,0.812,0.78893,0.73375
0.66227,0.812,0.85523,0.73375
0.35764,0.875,0.84668,0.71813
0.64941,0.688,0.85209,0.72937
0.67691,0.625,0.83738,0.72500
0.55562,0.750,0.86062,0.71437
1.53649,0.625,0.88441,0.70125
0.28143,0.938,0.83609,0.73313
0.95432,0.750,0.79921,0.73125
1.22578,0.812,0.83848,0.71500
0.40510,0.875,0.80751,0.73687
0.49048,0.812,0.85437,0.72313
0.56727,0.750,0.84348,0.72437
0.52989,0.750,0.88283,0.72188
0.51498,0.750,0.83370,0.72125
1.78301,0.500,0.83735,0.72875
