loss,acc,test_loss,test_acc
1.11348,0.562,1.08212,0.62562
0.98859,0.625,1.05229,0.64125
0.72065,0.750,1.21100,0.56750
1.07765,0.688,1.11276,0.62000
0.82119,0.875,1.04579,0.64125
0.78444,0.875,1.04939,0.64500
0.72477,0.875,1.03080,0.64312
0.97643,0.750,0.99556,0.65500
1.21896,0.688,1.23375,0.56437
1.25761,0.625,1.16663,0.57937
1.13116,0.688,1.03146,0.65125
0.88857,0.688,1.01066,0.64500
1.63935,0.562,0.99671,0.65625
1.22861,0.562,1.07971,0.63625
0.67059,0.688,1.13026,0.60437
1.28663,0.500,1.03101,0.64062
0.83086,0.750,1.02185,0.64500
0.98645,0.562,1.04296,0.64062
0.63993,0.875,0.97809,0.66625
0.73167,0.625,0.94331,0.67563
1.07832,0.562,1.01383,0.64500
1.18868,0.625,0.99995,0.66125
0.50904,0.875,1.01048,0.64750
1.19045,0.688,1.03034,0.64250
1.12964,0.625,1.05917,0.62813
1.11165,0.625,1.01968,0.65812
1.19319,0.625,0.99380,0.67188
0.75752,0.812,1.03990,0.64875
0.69995,0.750,1.06997,0.63125
1.39108,0.562,0.96319,0.68063
1.18968,0.500,0.94711,0.66875
1.18862,0.625,1.02925,0.64500
0.91385,0.562,0.97380,0.65625
1.41453,0.438,0.97864,0.67125
0.91241,0.625,1.07882,0.63500
0.70062,0.688,1.00994,0.64438
0.79473,0.688,1.05745,0.64312
0.60785,0.750,0.94564,0.67000
0.94188,0.750,0.98465,0.66312
0.51598,0.812,0.91273,0.68750
0.79379,0.688,0.98887,0.66438
1.15825,0.562,0.95547,0.68437
1.09218,0.625,1.00670,0.66812
0.60696,0.875,1.00537,0.65875
1.43052,0.625,0.94688,0.67188
0.92919,0.750,0.97744,0.66000
0.74839,0.688,1.11945,0.64062
0.84441,0.688,0.99101,0.65563
1.20202,0.562,0.95580,0.67000
0.98801,0.688,0.94436,0.67812
1.45828,0.688,1.12728,0.60000
0.95065,0.562,0.95098,0.67875
0.91606,0.562,1.00730,0.65375
0.94609,0.688,1.00418,0.66250
0.43370,0.875,0.93559,0.68063
0.92765,0.688,0.96080,0.67625
0.84717,0.688,0.99374,0.66687
0.84626,0.625,0.92321,0.68812
1.16360,0.688,1.01119,0.67188
0.64072,0.812,0.94098,0.67750
1.50393,0.562,1.01758,0.66312
0.49761,0.750,0.96077,0.67563
0.79589,0.688,0.97498,0.67250
1.20707,0.562,0.89511,0.69188
0.57024,0.812,0.92899,0.68937
0.37729,0.938,0.91807,0.68437
1.07645,0.625,0.94069,0.67375
0.83704,0.812,0.93354,0.69063
1.15539,0.688,0.94928,0.66625
1.06438,0.625,0.94195,0.68000
0.52610,0.750,0.98672,0.68312
0.82498,0.688,0.89350,0.70750
0.88301,0.750,0.95124,0.68250
1.20839,0.500,0.97561,0.65750
0.98243,0.688,0.96126,0.66938
0.45223,0.875,0.93187,0.69125
0.71220,0.750,1.00955,0.66125
0.93485,0.625,1.10199,0.62062
0.74563,0.812,0.93678,0.67812
0.98856,0.750,0.92339,0.69312
1.01156,0.562,0.98871,0.66500
0.73773,0.625,0.94051,0.67875
0.78088,0.750,0.98270,0.67375
0.64475,0.688,0.95040,0.68937
0.87084,0.625,0.90538,0.70312
1.16317,0.500,0.96267,0.68875
0.86277,0.688,0.89725,0.69812
0.97693,0.688,0.91683,0.70000
0.59137,0.875,0.93223,0.69688
1.01846,0.438,0.86832,0.71000
0.87015,0.688,0.90625,0.68875
0.47969,0.750,0.88497,0.70125
0.67937,0.750,0.91626,0.69250
1.38893,0.500,0.88058,0.70500
1.04243,0.688,0.94298,0.69250
1.01475,0.812,0.92621,0.68812
0.76704,0.688,0.88375,0.70875
0.71710,0.688,0.94340,0.68625
0.55304,0.750,0.89875,0.69125
0.43246,0.750,0.86021,0.71188
1.19093,0.625,0.86351,0.72062
0.85185,0.625,0.99277,0.67125
0.68553,0.812,0.90788,0.70063
0.40134,0.938,0.89730,0.69312
0.56439,0.812,0.86757,0.71125
0.84587,0.688,0.91140,0.70250
0.43944,0.750,0.91273,0.68063
0.68777,0.750,0.86846,0.70250
0.78630,0.750,0.93871,0.69188
1.02420,0.625,0.88148,0.70625
0.42211,0.875,0.89225,0.70000
0.67994,0.750,0.91388,0.71500
