loss,acc,test_loss,test_acc
1.73860,0.562,1.54507,0.42625
1.24238,0.562,1.03690,0.65687
0.89662,0.750,1.13153,0.61687
0.49265,0.875,1.02947,0.64250
0.50306,0.938,1.04623,0.63938
1.56610,0.500,1.10919,0.63062
1.49761,0.562,1.28966,0.51750
0.67008,0.875,1.04018,0.65312
0.89513,0.750,1.06181,0.63313
1.39844,0.562,1.20745,0.59813
1.06901,0.625,0.99281,0.65563
1.69437,0.500,1.04287,0.65187
1.41654,0.625,1.45360,0.50875
0.76447,0.750,1.00705,0.65687
0.87248,0.688,1.70715,0.42812
1.06503,0.625,1.32177,0.54000
0.81378,0.812,1.26469,0.54438
0.97719,0.750,1.40020,0.52687
0.63415,0.875,1.03864,0.65000
0.83374,0.750,1.54070,0.44938
1.85457,0.375,1.23841,0.55437
0.79038,0.688,1.39718,0.50125
0.76872,0.688,1.11502,0.63000
1.20417,0.688,1.30656,0.51875
0.61832,0.812,1.23137,0.59062
1.03723,0.750,1.11697,0.62062
0.78802,0.812,1.05069,0.63250
0.47509,0.875,1.27629,0.54500
1.24852,0.625,1.04890,0.64875
0.57046,0.750,1.00429,0.65875
1.01699,0.500,1.35951,0.48625
1.30578,0.625,1.31226,0.52625
0.97605,0.688,1.05628,0.64187
1.06634,0.625,1.14085,0.60500
0.75727,0.625,1.20471,0.56312
0.85054,0.688,1.01423,0.66875
1.10396,0.812,1.06782,0.63875
0.75169,0.750,0.90655,0.68437
1.06838,0.625,1.08855,0.61813
1.00891,0.562,1.01329,0.65938
0.67657,0.750,1.01594,0.63750
0.62429,0.812,1.07554,0.63500
0.77828,0.812,0.98226,0.66563
0.35742,0.938,1.11041,0.61687
0.80876,0.500,1.13448,0.60313
1.31474,0.562,1.00726,0.66063
0.95861,0.625,1.19902,0.58688
0.52759,0.750,0.95043,0.67812
0.75765,0.688,0.97090,0.65438
1.06178,0.812,0.95094,0.67063
1.14280,0.688,1.41608,0.48063
0.74281,0.750,1.35279,0.49938
0.87858,0.625,1.12943,0.61813
0.73293,0.688,0.97672,0.68000
0.58089,0.812,0.94345,0.68375
1.15374,0.500,1.00372,0.66812
1.97983,0.562,0.93559,0.67937
1.05480,0.750,0.95979,0.67500
0.77542,0.688,1.32420,0.50875
0.95248,0.688,1.16113,0.60000
1.14161,0.562,1.02688,0.66000
0.71383,0.750,1.18390,0.57188
0.92051,0.750,1.00394,0.66250
0.92952,0.688,0.91013,0.68937
1.15134,0.750,0.97112,0.67563
0.47554,0.812,1.18043,0.57375
0.88217,0.500,1.03899,0.64500
0.75201,0.750,1.32671,0.50187
0.74998,0.625,1.11065,0.64062
0.47875,0.875,1.26100,0.54000
0.79270,0.688,0.96230,0.67125
0.71871,0.688,1.10244,0.63938
0.71470,0.688,0.94996,0.68437
1.05375,0.625,1.15059,0.61000
0.98432,0.688,1.64357,0.41187
1.19696,0.625,0.90679,0.70250
1.12340,0.750,1.07469,0.64187
1.03837,0.625,0.90834,0.70250
1.17924,0.625,1.08095,0.62250
1.08673,0.688,1.54943,0.45563
1.44779,0.562,1.14923,0.61000
0.75019,0.750,1.01788,0.67312
0.96162,0.812,1.16885,0.60437
0.84995,0.750,0.98943,0.66063
0.91063,0.688,1.23232,0.60125
0.63870,0.688,0.91537,0.68563
1.09437,0.688,1.02549,0.66563
0.93286,0.688,0.98056,0.66375
1.01467,0.750,1.12366,0.60750
0.71216,0.812,0.90937,0.70375
1.10461,0.562,0.89004,0.71125
0.82320,0.625,0.99092,0.67188
0.80957,0.750,1.28841,0.50938
0.69503,0.812,0.98476,0.66563
1.08063,0.562,1.00550,0.65875
1.18814,0.625,0.98204,0.67125
0.65867,0.750,0.89568,0.69500
1.44783,0.375,1.11264,0.63000
0.69838,0.750,1.23541,0.53000
0.88908,0.688,0.94547,0.67250
0.26225,1.000,0.94333,0.69375
1.01945,0.625,1.20884,0.55937
0.53581,0.750,0.93073,0.67500
0.88168,0.750,1.00580,0.67375
0.62743,0.812,1.06303,0.65312
0.70326,0.812,1.07695,0.62813
1.12546,0.562,0.97624,0.67563
0.59922,0.750,1.40983,0.51250
1.15606,0.500,0.93624,0.68625
0.45448,0.938,0.94760,0.68937
0.87301,0.750,1.27297,0.55250
1.27829,0.812,0.99102,0.65875
0.57505,0.750,0.92362,0.68937
1.00361,0.625,1.03188,0.65187
0.93986,0.625,0.91231,0.69375
0.79299,0.625,1.02626,0.64812
1.43792,0.625,0.92053,0.69188
0.64939,0.750,1.15506,0.57875
0.68352,0.688,1.39738,0.48000
1.70947,0.562,1.11503,0.60313
0.82651,0.750,0.94449,0.69125
1.04598,0.688,1.20657,0.54625
0.80822,0.750,0.99955,0.68250
0.65411,0.688,0.95710,0.67812
0.91515,0.562,0.91128,0.69125
0.94429,0.562,1.04433,0.64812
0.92475,0.688,1.07014,0.61562
0.82353,0.688,1.02782,0.65938
0.94383,0.750,0.92144,0.69500
1.15559,0.562,0.92405,0.67812
0.74855,0.750,0.90669,0.69750
0.61997,0.812,0.86541,0.71250
0.70571,0.688,0.97587,0.67000
0.67836,0.688,0.88439,0.71125
0.40724,0.875,0.91451,0.70063
0.95537,0.625,0.88441,0.71062
0.41353,0.875,0.90010,0.69563
0.46482,0.812,0.89905,0.70875
1.02110,0.625,0.86476,0.71750
0.54935,0.750,0.92613,0.68063
0.65361,0.750,1.07319,0.59062
0.57494,0.750,1.13111,0.59250
0.59246,0.875,0.83904,0.73313
0.87173,0.688,1.08158,0.61938
1.13811,0.812,1.08995,0.62813
0.28774,0.938,0.90794,0.69750
0.86911,0.750,0.91104,0.70500
0.96491,0.625,0.94421,0.68750
0.54734,0.812,1.25986,0.53500
1.06199,0.625,0.98018,0.66187
0.61594,0.688,0.84815,0.70688
0.68515,0.750,0.84710,0.70562
0.54279,0.812,0.91630,0.68625
0.86585,0.812,0.97462,0.67250
0.59831,0.750,0.96943,0.67312
0.91580,0.625,0.85905,0.71250
0.48114,0.875,1.02067,0.65625
0.90619,0.688,1.15488,0.59562
0.93966,0.750,0.81861,0.72813
0.71111,0.688,0.89272,0.69500
0.60233,0.750,0.96979,0.68563
0.74212,0.875,1.19614,0.56188
0.98862,0.688,0.81508,0.73813
0.71525,0.750,0.86162,0.72625
0.40111,0.812,0.88728,0.70937
0.64512,0.750,1.19177,0.57625
0.73616,0.688,0.89451,0.70125
0.46491,0.812,0.84851,0.72750
0.57345,0.688,1.09234,0.62750
0.59113,0.750,0.93582,0.67625
0.49237,0.875,0.91649,0.69563
1.36831,0.375,1.06376,0.64438
0.39398,0.938,1.05753,0.64563
0.37892,0.812,0.93531,0.68563
0.86600,0.750,1.20040,0.58375
0.51707,0.875,0.95478,0.67812
0.76435,0.812,0.98256,0.66812
0.82276,0.625,1.05021,0.62938
1.01699,0.750,1.07315,0.61187
1.14881,0.625,0.96423,0.68125
0.84716,0.625,0.89733,0.70688
0.88650,0.750,0.97817,0.66750
0.77837,0.750,1.21955,0.55250
0.69632,0.625,0.94610,0.68937
0.82037,0.750,1.12724,0.61062
0.69761,0.750,0.89795,0.69250
0.56118,0.812,0.96292,0.67250
0.42963,0.875,0.97797,0.68125
0.84512,0.750,0.88268,0.70750
0.20881,1.000,0.91962,0.69688
0.36241,0.875,1.00284,0.66250
1.18276,0.688,1.03451,0.64750
1.15622,0.625,0.80742,0.73875
0.96366,0.812,1.06302,0.64375
0.95138,0.812,0.94629,0.68500
0.66601,0.812,0.83470,0.73438
0.80629,0.812,0.82715,0.72000
0.68924,0.812,1.01943,0.65500
0.59190,0.875,0.90224,0.69688
1.07393,0.688,0.85357,0.72188
0.48574,0.875,0.91504,0.70250
0.30936,0.938,1.04564,0.63938
0.81624,0.750,0.80563,0.73687
0.70219,0.812,0.86054,0.72375
0.93250,0.688,0.87024,0.71250
0.57694,0.750,1.20325,0.57875
0.63166,0.625,0.97582,0.67375
0.39244,0.875,0.86284,0.72000
0.76926,0.625,1.05342,0.64312
0.73176,0.875,0.95029,0.69063
0.37431,0.812,0.87440,0.72250
0.53628,0.750,1.01261,0.65375
0.73078,0.688,1.11578,0.59500
0.68803,0.750,0.82536,0.73062
0.61790,0.750,0.86748,0.70750
0.44734,0.812,0.98444,0.66187
0.64188,0.750,0.87142,0.71562
0.93381,0.688,1.01086,0.63625
0.57367,0.812,1.16310,0.58750
1.85333,0.688,0.91377,0.69312
0.37716,0.875,0.84827,0.71875
1.03517,0.688,0.88796,0.72313
0.67907,0.688,1.07813,0.60062
0.70374,0.750,0.89268,0.71062
0.81664,0.562,0.96856,0.67750
0.83294,0.625,1.11537,0.60375
0.34445,0.938,0.93129,0.69375
0.35409,0.875,0.81671,0.72562
0.54492,0.812,0.93783,0.68500
0.64189,0.750,0.95000,0.68312
0.85269,0.688,0.90972,0.69000
0.45917,0.750,0.84887,0.72500
0.50493,0.750,1.07782,0.62687
0.31595,0.875,1.07484,0.62750
0.43142,0.875,0.85378,0.71875
0.55418,0.750,0.86067,0.71500
0.75058,0.750,1.01287,0.67750
0.46220,0.812,0.99780,0.66250
1.37031,0.562,1.19196,0.59625
0.24869,0.938,0.90170,0.70125
0.68231,0.812,1.22589,0.56000
0.94974,0.688,0.84108,0.72062
0.67565,0.688,0.86717,0.72375
0.95505,0.625,1.00306,0.64563
0.47840,0.875,0.83578,0.72375
1.18180,0.688,1.04161,0.64250
0.82885,0.688,0.88148,0.70000
0.34629,0.938,0.98647,0.66750
0.92598,0.688,0.87994,0.69937
1.35591,0.625,0.94415,0.69312
0.37477,0.938,0.89514,0.70625
1.60747,0.500,0.88364,0.70625
0.83317,0.750,0.86542,0.70688
0.70967,0.688,0.82131,0.72688
0.88461,0.688,1.24363,0.55750
1.08868,0.688,0.93898,0.70250
0.60625,0.812,0.83241,0.72437
0.34139,0.938,1.03263,0.63500
0.49177,0.812,0.92026,0.69125
0.78251,0.750,0.93229,0.68188
0.57135,0.812,0.86470,0.70375
0.64651,0.812,0.91096,0.70437
0.70170,0.812,0.95117,0.68625
0.42833,0.875,0.85184,0.71250
0.35539,0.875,0.81746,0.72188
0.51376,0.812,0.90547,0.70063
0.75457,0.750,1.08473,0.60125
0.35867,0.938,0.93480,0.68750
0.47836,0.750,0.80650,0.73500
0.56567,0.875,0.85629,0.71000
0.45732,0.750,0.77719,0.73125
0.85617,0.688,0.85026,0.71313
0.60658,0.688,0.95886,0.68375
1.14029,0.625,0.92123,0.68625
0.36568,0.812,0.81658,0.72000
0.37947,0.812,1.11357,0.61125
0.72066,0.750,1.03494,0.63375
0.49142,0.875,0.81053,0.73000
1.10385,0.562,0.99489,0.67312
0.48933,0.812,0.88340,0.70750
0.67494,0.812,0.92423,0.69875
0.54765,0.875,0.86489,0.73562
0.90994,0.688,0.85886,0.71562
0.61570,0.750,0.81554,0.73875
0.40208,0.875,0.96909,0.68500
1.01461,0.688,1.18410,0.56625
0.73311,0.812,0.88154,0.70312
1.16683,0.625,0.84168,0.71313
0.22860,0.875,0.81289,0.72562
0.99842,0.625,1.14499,0.58813
0.64367,0.812,1.02728,0.64375
1.28338,0.625,0.79300,0.74000
0.28139,0.938,1.26095,0.52750
0.53015,0.812,0.91751,0.69750
0.46819,0.812,0.84230,0.72000
0.27929,0.938,0.96924,0.66438
0.50563,0.812,1.02180,0.65063
0.31144,0.938,1.00462,0.66063
0.31587,0.875,0.86922,0.72062
0.35349,0.875,0.83728,0.73625
0.65101,0.750,0.93684,0.68937
0.81393,0.625,0.83168,0.72813
1.18701,0.812,0.81824,0.72500
0.56096,0.750,1.03735,0.63313
0.84926,0.750,0.94579,0.68437
0.92704,0.812,0.91939,0.67750
0.28181,0.875,0.94921,0.65687
0.23652,0.875,0.80239,0.73813
