loss,acc,test_loss,test_acc
0.80960,0.750,0.86379,0.70375
0.71308,0.688,0.88323,0.71250
0.70763,0.750,0.88695,0.70688
1.00796,0.625,0.84677,0.71375
0.75010,0.812,0.90978,0.68625
0.84052,0.750,0.95087,0.67563
0.63312,0.750,0.82855,0.71625
0.76429,0.625,0.87155,0.70375
0.66277,0.750,0.81000,0.72625
0.76181,0.750,0.91034,0.68063
1.01874,0.562,0.83303,0.72250
0.71518,0.688,0.82279,0.73188
1.34885,0.500,0.87944,0.71562
0.60813,0.750,0.86604,0.70688
0.72928,0.812,0.89226,0.69000
0.70108,0.750,0.87248,0.70437
0.38806,0.812,0.81553,0.72000
0.59750,0.750,0.87059,0.69812
0.34204,0.875,0.82531,0.71250
0.69854,0.750,0.81148,0.71875
0.48645,0.938,0.83478,0.72125
0.65230,0.875,0.87686,0.70875
1.06097,0.750,0.82851,0.71875
1.04097,0.688,0.92294,0.70562
0.66511,0.875,0.83285,0.72188
0.70604,0.688,0.86907,0.69688
0.87503,0.750,0.86390,0.71750
1.19020,0.625,0.79964,0.71875
0.50173,0.750,0.81419,0.72250
0.67161,0.625,0.86374,0.70937
0.69937,0.812,0.81283,0.72500
0.87856,0.562,0.85248,0.71437
0.29201,0.938,0.85246,0.70875
1.11150,0.625,0.88784,0.70063
0.77790,0.688,0.85373,0.70688
0.52477,0.875,0.84641,0.71375
1.01764,0.688,0.86080,0.69937
0.26680,1.000,0.83665,0.72875
0.75682,0.812,0.85732,0.72188
0.41420,0.875,0.85095,0.70312
0.93727,0.750,0.77169,0.73375
0.50883,0.812,0.81964,0.71813
1.10654,0.562,0.83487,0.73313
0.45107,0.938,0.82044,0.71375
0.70928,0.625,0.83762,0.71500
0.86103,0.750,0.84271,0.70500
0.56963,0.812,0.84862,0.69500
1.65179,0.562,0.79324,0.72000
0.46892,0.875,0.81194,0.72688
0.69186,0.688,0.94840,0.66125
0.52499,0.688,0.79335,0.72562
0.68895,0.812,0.83881,0.72125
1.16429,0.562,0.81524,0.73000
0.61566,0.750,0.78411,0.73750
0.50567,0.750,0.79225,0.71875
0.97648,0.688,0.79597,0.72437
0.86354,0.875,0.79585,0.71562
0.90281,0.750,0.81542,0.72625
0.51794,0.812,0.84062,0.72313
0.93703,0.688,0.89127,0.69937
0.63904,0.750,0.80365,0.73250
0.55682,0.812,0.83891,0.71562
0.53249,0.812,0.80807,0.72125
0.49485,0.750,0.82076,0.72313
0.79457,0.625,0.79367,0.72813
0.88859,0.812,0.78199,0.74062
0.24737,1.000,0.78374,0.73375
0.60505,0.750,0.79190,0.73500
0.33589,0.875,0.86373,0.69000
0.76066,0.750,0.84225,0.69188
0.39125,0.938,0.81746,0.70813
0.77220,0.812,0.79243,0.73500
0.37634,0.875,0.76293,0.75250
0.92751,0.750,0.81421,0.71875
0.24461,0.938,0.84369,0.71500
1.10392,0.688,0.77010,0.74313
1.19920,0.625,0.78247,0.75313
0.66764,0.750,0.79025,0.72937
0.98777,0.688,0.74961,0.74250
0.90941,0.625,0.76193,0.73562
0.72509,0.750,0.77335,0.73750
0.49039,0.812,0.82620,0.72250
0.27097,0.938,0.76434,0.74125
0.54970,0.812,0.77833,0.72813
0.47965,0.688,0.84149,0.72750
0.27002,0.938,0.78563,0.73813
0.63246,0.750,0.80440,0.72250
