loss,acc,epoch
1.21323,0.625,6899
0.80830,0.688,6999
0.52577,0.812,7099
0.37081,0.875,7199
0.39541,0.875,7299
1.29330,0.562,7399
0.75255,0.688,7499
1.06573,0.625,7599
1.04062,0.812,7699
0.34460,0.938,7799
0.83157,0.625,7899
0.45280,0.750,7999
0.28699,0.938,8099
1.09175,0.625,8199
0.40191,0.938,8299
0.33827,0.875,8399
0.56626,0.750,8499
0.56807,0.812,8599
0.44793,0.875,8699
0.48907,0.875,8799
0.38129,0.875,8899
1.05825,0.500,8999
0.34415,0.875,9099
0.67358,0.812,9199
0.58061,0.938,9299
0.49192,0.812,9399
0.45284,0.812,9499
0.27689,0.875,9599
0.81614,0.688,9699
1.09968,0.688,9799
0.62262,0.750,9899
0.57357,0.875,9999
0.23680,0.938,99
0.14483,0.938,199
0.40837,0.875,299
0.55775,0.812,399
0.14150,1.000,499
0.34381,0.875,599
0.38604,0.875,699
0.46974,0.875,799
1.06984,0.625,899
0.28032,0.875,999
0.41443,0.875,1099
0.89242,0.750,1199
0.77775,0.750,1299
0.76156,0.875,1399
0.58068,0.750,1499
0.62518,0.812,1599
1.38528,0.625,1699
1.05279,0.625,1799
0.76263,0.875,1899
0.79628,0.812,1999
0.17425,1.000,2099
0.60376,0.750,2199
0.76062,0.688,2299
0.51625,0.750,2399
0.78996,0.750,2499
0.59934,0.750,2599
0.62519,0.812,2699
0.65909,0.750,2799
0.55574,0.750,2899
0.61029,0.750,2999
0.79246,0.750,3099
0.37230,0.812,3199
0.41873,0.875,3299
0.83715,0.625,3399
0.74010,0.750,3499
0.28407,0.875,3599
0.18855,0.938,3699
0.43825,0.812,3799
0.89311,0.812,3899
0.37087,0.875,3999
0.41169,0.875,4099
0.20440,0.875,4199
0.18214,0.938,4299
0.28073,0.938,4399
0.73988,0.750,4499
0.34165,0.812,4599
0.28555,0.875,4699
0.32935,0.875,4799
0.69648,0.625,4899
0.28836,0.938,4999
0.54543,0.812,5099
0.93991,0.625,5199
0.15902,1.000,5299
0.45561,0.875,5399
0.90551,0.750,5499
0.47072,0.812,5599
0.46276,0.750,5699
0.33004,0.812,5799
0.25560,0.938,5899
0.49621,0.812,5999
0.52721,0.875,6099
0.43058,0.812,6199
0.76821,0.688,6299
1.03243,0.812,6399
0.18525,1.000,6499
0.50995,0.812,6599
0.06385,1.000,6699
0.22514,0.938,6799
0.48112,0.812,6899
0.72120,0.875,6999
0.54260,0.750,7099
0.55698,0.812,7199
0.04900,1.000,7299
0.50804,0.875,7399
0.33474,0.875,7499
0.49307,0.812,7599
0.32243,0.812,7699
0.65485,0.750,7799
0.58948,0.812,7899
0.43492,0.875,7999
0.20563,0.938,8099
0.59884,0.812,8199
0.31303,0.812,8299
0.62592,0.750,8399
0.84740,0.750,8499
0.35556,0.812,8599
0.30747,0.938,8699
0.66782,0.812,8799
0.21536,0.938,8899
0.28172,0.938,8999
1.39438,0.688,9099
0.69093,0.688,9199
0.53668,0.812,9299
0.46245,0.875,9399
0.70361,0.688,9499
0.63655,0.812,9599
0.35792,0.875,9699
0.37849,0.812,9799
0.38212,0.812,9899
0.16471,0.938,9999
0.45614,0.812,99
0.27045,0.875,199
0.40835,0.938,299
0.17288,1.000,399
0.40619,0.875,499
0.69697,0.750,599
0.23151,0.875,699
0.16332,0.938,799
0.41059,0.812,899
0.70335,0.750,999
0.42275,0.875,1099
0.72347,0.812,1199
0.34777,0.875,1299
0.40063,0.875,1399
0.40033,0.875,1499
0.23768,0.938,1599
0.26984,0.875,1699
0.70822,0.812,1799
0.45104,0.875,1899
0.30953,0.812,1999
0.20847,0.938,2099
0.48354,0.750,2199
0.35602,0.875,2299
0.34460,0.875,2399
0.24073,0.938,2499
0.43617,0.750,2599
0.31677,0.938,2699
0.43377,0.938,2799
0.28178,0.938,2899
0.28164,0.938,2999
0.42426,0.812,3099
0.37936,0.938,3199
0.30478,0.875,3299
0.26131,0.875,3399
0.36707,0.875,3499
0.38141,0.875,3599
0.59164,0.750,3699
0.79867,0.812,3799
0.58534,0.812,3899
0.18080,0.938,3999
0.83535,0.688,4099
0.36833,0.875,4199
0.27718,0.938,4299
0.43348,0.875,4399
0.47891,0.812,4499
0.94526,0.750,4599
0.51337,0.812,4699
0.16325,1.000,4799
0.36691,0.812,4899
0.26352,0.875,4999
0.73367,0.812,5099
0.21892,0.938,5199
0.72001,0.688,5299
0.41351,0.875,5399
0.24458,0.938,5499
0.84104,0.750,5599
0.54524,0.812,5699
1.02468,0.812,5799
0.51635,0.875,5899
0.32157,0.812,5999
0.27771,0.875,6099
0.27778,0.875,6199
0.18724,0.938,6299
0.23372,0.938,6399
0.48682,0.812,6499
0.11122,1.000,6599
0.52911,0.812,6699
0.30537,0.938,6799
0.21412,0.938,6899
0.60996,0.812,6999
0.28227,0.812,7099
0.70919,0.812,7199
0.51631,0.875,7299
0.35959,0.812,7399
0.29654,0.938,7499
0.49193,0.875,7599
0.81802,0.562,7699
0.18826,0.938,7799
0.39711,0.812,7899
0.95101,0.750,7999
0.13682,1.000,8099
0.89568,0.688,8199
0.03928,1.000,8299
0.34354,0.875,8399
0.42719,0.875,8499
0.23883,0.875,8599
0.72034,0.688,8699
0.33703,0.875,8799
0.20530,0.938,8899
0.89294,0.625,8999
0.42367,0.938,9099
0.48237,0.875,9199
0.53504,0.875,9299
0.45069,0.875,9399
0.44093,0.812,9499
0.17135,1.000,9599
0.17019,0.938,9699
0.12121,1.000,9799
0.34801,0.812,9899
0.27074,0.875,9999
0.13159,1.000,99
0.81805,0.750,199
0.25626,0.938,299
0.40694,0.875,399
0.35858,0.875,499
0.50188,0.875,599
0.58894,0.812,699
0.53182,0.750,799
0.20106,0.938,899
0.19761,0.875,999
0.21524,0.875,1099
0.70108,0.812,1199
0.22865,1.000,1299
0.13859,1.000,1399
