loss,acc
0.83010,0.750
0.21861,0.938
0.24828,0.938
0.24005,0.938
0.17541,1.000
0.32289,0.938
0.51420,0.812
0.33910,0.938
0.59559,0.750
0.15970,0.938
0.69094,0.750
0.83981,0.688
0.22912,1.000
0.48379,0.875
1.26505,0.500
0.59871,0.812
0.26470,0.875
0.44332,0.812
0.48838,0.812
0.99646,0.688
0.46127,0.812
0.69118,0.812
0.89050,0.688
0.52483,0.875
0.73768,0.750
0.52597,0.875
0.51622,0.938
0.28559,0.938
0.23662,0.875
0.35715,0.938
1.23949,0.625
0.87434,0.750
0.69604,0.812
1.04901,0.750
0.56246,0.812
0.39624,0.875
0.50637,0.750
0.42364,0.938
0.80125,0.750
0.65977,0.812
0.82798,0.688
0.70068,0.812
0.45836,0.875
0.22027,0.938
0.27883,0.938
0.32093,0.938
0.39601,0.812
0.87030,0.875
0.57299,0.812
0.09675,1.000
0.87764,0.688
0.33037,0.875
0.28424,0.875
0.52159,0.812
0.29612,0.938
0.38762,0.812
0.30192,0.875
0.58952,0.812
0.29812,0.875
0.47107,0.812
0.67647,0.750
0.44981,0.875
0.29617,0.875
0.30650,0.938
0.09734,1.000
0.38203,0.812
0.66596,0.750
0.26496,1.000
0.77540,0.812
0.65121,0.688
0.43028,0.875
0.56040,0.812
0.66045,0.750
0.44101,0.812
0.30578,0.938
0.69655,0.750
1.05934,0.625
0.37533,0.875
0.92675,0.875
0.73934,0.750
0.56171,0.875
0.72077,0.812
0.61705,0.750
0.36258,0.938
0.53696,0.812
1.07500,0.688
0.50187,0.812
0.33158,0.875
0.37172,0.875
0.89850,0.750
0.33713,0.875
0.37009,0.875
0.44142,0.875
0.47188,0.875
0.60802,0.812
0.26970,0.938
0.14736,0.938
0.16685,0.938
0.14380,1.000
0.35931,0.938
0.60236,0.812
0.57064,0.812
0.25905,0.875
0.68558,0.688
0.48425,0.812
0.38226,0.750
0.22391,0.938
0.28338,0.875
0.42103,0.812
0.52645,0.750
0.40302,0.875
1.02118,0.750
0.46800,0.875
0.54489,0.812
0.53024,0.750
0.19790,0.938
0.25957,0.875
0.48786,0.875
0.89761,0.688
0.24425,0.938
0.29161,0.875
0.29279,0.938
0.51969,0.812
0.45295,0.875
0.45934,0.812
0.21355,1.000
0.52046,0.875
0.56759,0.812
0.33600,0.938
0.34903,0.875
0.69123,0.750
0.49864,0.812
0.33094,0.938
0.53547,0.812
0.50470,0.812
0.33482,0.938
0.79484,0.812
0.61974,0.750
0.14819,0.938
0.06611,1.000
0.33032,0.875
0.37353,0.750
0.30107,0.812
0.53446,0.812
0.52516,0.812
0.56373,0.812
0.76198,0.812
0.56852,0.875
0.17402,0.938
0.06247,1.000
0.35133,0.938
0.15312,0.938
0.17055,1.000
0.18750,1.000
0.12545,1.000
0.32359,0.812
0.32849,0.875
0.29655,0.875
0.65916,0.812
0.49031,0.875
0.67968,0.750
0.36360,0.812
0.59693,0.812
0.48839,0.812
0.34242,0.812
0.29909,0.875
0.30008,0.938
0.06955,1.000
0.59104,0.812
0.43441,0.875
0.17200,0.938
0.86806,0.812
0.18304,1.000
0.09217,1.000
0.43126,0.938
0.82320,0.688
0.50946,0.812
0.30226,0.938
0.03678,1.000
0.34002,0.938
0.88888,0.750
0.42998,0.875
0.44938,0.812
0.71507,0.750
0.14436,1.000
0.16591,0.875
0.46230,0.812
0.28417,0.938
0.11676,1.000
0.58364,0.875
0.41725,0.875
0.08230,1.000
0.66531,0.812
0.11670,0.938
0.13049,1.000
0.53021,0.750
0.59525,0.750
0.79954,0.688
0.22750,0.938
0.61538,0.812
0.28768,0.875
0.16432,1.000
0.56891,0.812
0.14786,0.938
0.24717,0.875
0.62726,0.750
0.17195,0.938
0.28966,0.875
0.36274,0.938
0.40733,0.875
0.15880,0.938
0.45119,0.812
0.39834,0.812
0.19703,0.938
0.47777,0.812
0.77677,0.812
0.64648,0.812
0.26043,0.875
0.33270,0.938
0.78199,0.812
0.30693,0.938
0.46159,0.875
0.12751,0.938
0.17922,0.938
0.24999,0.938
0.43033,0.875
0.94872,0.625
0.25084,0.875
0.53407,0.812
0.60343,0.688
0.06543,1.000
0.23068,0.938
0.20920,0.938
0.22840,0.938
0.65120,0.750
0.28784,0.938
0.28961,1.000
0.32251,0.812
0.38962,0.875
0.16359,0.938
0.10583,0.938
0.23240,0.938
0.26770,0.875
0.21007,0.938
0.26938,0.938
0.45703,0.812
0.24078,0.938
1.03691,0.812
0.30544,0.875
0.54244,0.875
0.46271,0.875
0.05397,1.000
0.19542,0.938
0.26808,0.875
0.10920,0.938
0.70656,0.812
0.24537,0.812
0.17861,0.938
0.74331,0.812
0.09071,1.000
0.31485,0.875
0.35635,0.812
0.21942,0.938
0.37508,0.812
0.30592,0.875
0.35667,0.812
0.18294,0.938
0.41009,0.875
0.38626,0.812
0.31739,0.875
0.40812,0.875
0.25352,0.938
0.94614,0.688
0.40786,0.812
0.26609,0.875
0.40103,0.875
0.54872,0.812
0.40671,0.812
0.53472,0.812
0.12010,1.000
0.21419,0.938
0.16846,0.875
0.43849,0.812
0.57739,0.812
0.38454,0.875
0.20940,1.000
0.15754,0.938
0.47403,0.812
0.70663,0.812
0.84316,0.812
0.39102,0.812
0.15093,0.938
0.28856,0.812
0.07135,1.000
0.16819,0.875
0.30420,0.875
0.25467,0.875
0.06234,1.000
0.72924,0.688
0.36054,0.938
0.34141,0.938
0.45252,0.875
0.16084,0.938
0.22686,0.938
0.14588,0.938
0.38722,0.875
0.11374,1.000
0.56400,0.812
0.30797,0.938
0.03536,1.000
0.39433,0.875
0.11329,0.938
0.25465,0.875
0.04321,1.000
0.60659,0.875
0.98175,0.750
0.37979,0.812
0.56597,0.750
0.27488,0.938
0.08942,1.000
0.45832,0.812
0.17151,1.000
0.19200,0.875
0.05170,1.000
0.07541,1.000
0.38637,0.938
0.56413,0.938
0.45456,0.812
0.35672,0.875
0.36244,0.875
0.10681,1.000
0.29722,0.938
0.47117,0.938
0.71474,0.750
0.60263,0.750
0.23404,0.938
0.40123,0.938
0.16581,1.000
0.40144,0.812
0.27872,0.875
0.10633,1.000
0.06869,1.000
0.23980,0.938
0.23337,0.875
0.29222,0.812
0.31920,0.875
0.19974,0.875
0.12845,1.000
0.35082,0.812
0.02538,1.000
0.07045,1.000
0.09603,1.000
0.18566,1.000
0.17874,1.000
0.21531,0.875
0.20356,1.000
0.37083,0.875
0.83531,0.625
0.29339,0.875
0.39209,0.875
0.33554,0.812
0.09015,1.000
0.29589,0.750
0.15388,0.938
0.29924,0.938
0.19048,0.875
0.10168,0.938
0.10925,1.000
0.20633,0.875
0.45852,0.938
0.21570,0.875
0.38682,0.938
0.15447,0.938
0.05502,1.000
0.54012,0.688
0.21629,1.000
0.50187,0.875
0.20728,0.875
0.15404,0.938
0.70627,0.688
0.13674,0.938
0.36354,0.812
0.06407,1.000
0.28910,0.938
0.14985,0.938
0.20994,0.938
0.27854,0.938
0.24079,0.938
0.06736,1.000
0.18700,0.938
0.32813,0.938
0.12463,1.000
0.22222,0.938
0.61545,0.812
0.21106,0.875
0.42194,0.812
0.35553,0.812
0.15658,0.938
0.48594,0.938
0.20757,0.812
0.35090,0.875
0.37095,0.875
0.49160,0.938
0.19331,0.938
0.49205,0.875
0.30728,0.812
0.17696,0.938
0.08509,1.000
0.45332,0.812
0.20731,0.938
0.37678,0.812
0.34395,0.875
0.15481,0.938
0.08821,1.000
0.25028,0.875
0.84365,0.812
0.32548,0.812
0.12673,0.938
0.13213,0.938
0.49664,0.750
0.03701,1.000
0.11372,0.938
