loss,acc,test_loss,test_acc
0.46935,0.812,0.93385,0.68125
0.85926,0.750,0.89928,0.70250
0.85418,0.625,0.88748,0.70000
1.43447,0.438,0.83709,0.70813
0.57093,0.750,0.80334,0.72437
1.28949,0.688,0.88242,0.69750
0.78088,0.688,0.80835,0.73000
0.70333,0.625,0.83490,0.72250
0.33019,0.938,0.79555,0.73562
0.58115,0.812,0.83249,0.73438
1.19555,0.688,0.81175,0.73438
1.21665,0.562,0.79638,0.73687
0.68741,0.688,0.95492,0.67625
0.73345,0.688,0.84570,0.72313
0.62672,0.750,0.80774,0.73750
0.61172,0.875,0.83197,0.71875
0.53215,0.875,0.89668,0.69312
0.84018,0.875,0.82028,0.74250
0.81413,0.812,0.83577,0.71937
0.60807,0.812,0.92264,0.68375
0.83000,0.688,0.84756,0.71750
0.45481,0.875,0.79274,0.73813
0.46487,0.812,0.84809,0.72313
0.49660,0.812,0.81915,0.72062
0.58856,0.750,0.82158,0.74438
1.16517,0.562,0.92658,0.69375
0.49479,0.812,0.80635,0.73188
0.55150,0.875,0.81945,0.72125
1.20765,0.562,0.89838,0.71375
0.79683,0.625,0.83414,0.71937
1.95769,0.562,0.83958,0.74000
0.69629,0.875,0.82610,0.72625
0.60016,0.750,0.81249,0.72125
0.61885,0.750,0.90135,0.70188
0.68152,0.750,0.78692,0.73313
0.74842,0.812,0.78798,0.73250
0.37824,0.875,0.82446,0.72125
1.05197,0.688,0.83642,0.72313
1.09552,0.688,0.85562,0.71875
0.60767,0.625,0.77835,0.73562
0.50395,0.812,0.84058,0.73375
1.02142,0.750,0.89050,0.70750
1.00779,0.688,0.83668,0.71313
1.03411,0.750,0.84040,0.72313
0.91564,0.750,0.80222,0.73000
1.03578,0.812,0.79058,0.74813
1.05213,0.625,0.87816,0.71688
1.28567,0.625,0.79255,0.75062
1.18794,0.625,0.86386,0.72188
0.68534,0.750,0.81852,0.74438
0.55858,0.812,0.83409,0.73250
0.44189,0.875,0.76881,0.73813
0.77841,0.688,0.80848,0.73188
0.86819,0.750,0.77307,0.74562
1.33520,0.562,0.79523,0.73500
0.48741,0.812,0.80364,0.73813
0.78010,0.812,0.79766,0.73813
1.07166,0.625,0.74776,0.74687
0.68768,0.750,0.77690,0.74687
0.38176,0.812,0.79021,0.73750
0.66010,0.750,0.74745,0.75313
0.92181,0.625,0.77623,0.73562
0.69696,0.875,0.79362,0.74125
0.45067,0.875,0.74467,0.77187
1.10718,0.625,0.83420,0.73875
0.21441,1.000,0.77884,0.73125
0.73374,0.688,0.76100,0.74313
0.38762,0.812,0.76148,0.73938
0.52448,0.875,0.73427,0.75625
0.66698,0.812,0.75939,0.75438
0.61490,0.750,0.80631,0.73313
0.34245,0.938,0.77684,0.74438
0.59476,0.812,0.83614,0.71188
0.45887,0.875,0.78477,0.73438
0.53185,0.812,0.75520,0.75000
1.60941,0.562,0.79246,0.74938
0.34522,0.938,0.72511,0.76375
0.95696,0.750,0.82734,0.73000
0.28187,0.938,0.80762,0.73562
0.50292,0.750,0.74474,0.75000
0.41865,0.875,0.73884,0.76000
0.49017,0.938,0.83034,0.72625
0.53843,0.812,0.80334,0.72937
0.72985,0.750,0.76190,0.75313
0.97888,0.562,0.91967,0.69500
0.37638,0.938,0.78512,0.73562
1.29870,0.625,0.81677,0.72813
0.51318,0.812,0.76714,0.75062
0.43316,0.875,0.76139,0.74687
0.67606,0.750,0.83331,0.72688
0.28181,0.938,0.77364,0.74000
0.71423,0.688,0.76935,0.74562
0.85764,0.562,0.87910,0.71313
0.72631,0.750,0.72809,0.76125
0.89487,0.688,0.83455,0.72625
0.10374,1.000,0.74763,0.75313
0.39168,0.875,0.77522,0.73562
0.61876,0.812,0.72642,0.75687
0.76441,0.688,0.77631,0.74250
0.57220,0.875,0.75216,0.74313
1.19707,0.688,0.73010,0.76000
0.49904,0.875,0.74685,0.76000
0.81515,0.750,0.72165,0.76000
