loss,acc,test_loss,test_acc
1.53140,0.625,0.90264,0.69125
0.84102,0.500,1.03614,0.63500
1.01686,0.625,0.92395,0.69812
0.84810,0.750,0.88995,0.68188
0.57455,0.750,0.84146,0.71562
0.54677,0.812,0.87350,0.70188
0.60700,0.750,0.91882,0.65938
1.08429,0.688,0.88822,0.69437
0.87906,0.688,0.87687,0.70312
1.14201,0.688,0.79948,0.72688
0.71220,0.688,0.91653,0.68000
0.78268,0.750,0.83211,0.71937
0.53436,0.812,0.86042,0.71750
0.71037,0.625,0.82672,0.71688
1.17192,0.500,0.86083,0.71125
0.75968,0.750,0.82952,0.72313
0.96032,0.625,0.89472,0.69312
1.05832,0.688,0.96046,0.68312
0.53273,0.812,0.87388,0.70625
1.32553,0.562,0.96938,0.67875
0.62813,0.938,0.83948,0.71188
0.76067,0.625,0.83919,0.71000
0.82412,0.688,0.82613,0.72313
0.49226,0.812,0.79722,0.73938
0.62369,0.750,0.81930,0.73375
0.90146,0.688,0.83817,0.72437
0.89784,0.750,0.78556,0.72750
0.92153,0.812,0.79615,0.74062
0.99806,0.750,0.91042,0.69063
0.72984,0.875,0.86022,0.69750
0.75440,0.750,0.91603,0.69063
0.93081,0.688,0.84691,0.71688
0.83865,0.562,0.81349,0.71937
0.29305,0.938,0.90699,0.68500
0.35662,0.938,0.83072,0.72125
0.53399,0.750,0.80839,0.72125
1.60800,0.562,0.79884,0.74187
0.51966,0.688,0.86054,0.71500
0.57583,0.688,0.81697,0.74250
0.85576,0.750,0.86334,0.71813
1.15016,0.625,0.82843,0.73250
0.64630,0.875,0.84477,0.70750
1.35474,0.562,0.80495,0.72875
0.40562,0.938,0.80438,0.73125
0.64300,0.875,0.82289,0.71125
0.72309,0.750,0.81273,0.72500
0.61876,0.812,0.82545,0.71125
0.57588,0.812,0.83785,0.71250
0.91521,0.688,0.82909,0.71688
1.33167,0.688,0.81838,0.72750
0.71014,0.875,0.83940,0.72125
0.77373,0.625,0.79852,0.73875
0.90856,0.750,0.78105,0.74500
1.11726,0.750,0.86266,0.70500
0.56234,0.812,0.84942,0.71313
0.65467,0.812,0.89950,0.67750
1.07735,0.500,0.80382,0.72437
0.50289,0.875,0.76892,0.75062
1.12901,0.438,0.79136,0.73375
0.66577,0.812,0.79970,0.73062
0.87507,0.688,0.79661,0.73188
1.03829,0.688,0.77011,0.74687
1.04184,0.625,0.80510,0.72937
0.68288,0.688,0.80020,0.72250
0.41252,0.875,0.82448,0.71500
0.79961,0.750,0.77620,0.73562
0.44271,0.938,0.78021,0.74313
0.49105,0.750,0.80860,0.72000
0.46945,0.812,0.77803,0.74313
1.40500,0.688,0.81707,0.72688
0.39331,0.875,0.79413,0.72188
0.58775,0.688,0.78825,0.72937
0.92568,0.688,0.81548,0.73313
0.64631,0.812,0.80927,0.72375
1.38401,0.562,0.78487,0.72937
0.72666,0.750,0.77373,0.73188
0.55765,0.875,0.83296,0.71313
0.64064,0.812,0.80160,0.73562
0.58830,0.812,0.77609,0.74187
1.13590,0.562,0.80885,0.73500
0.42489,0.938,0.76338,0.74562
1.35688,0.750,0.76562,0.73813
0.74183,0.688,0.80418,0.72937
0.96191,0.562,0.81097,0.73250
0.57012,0.875,0.80456,0.73750
0.35774,0.938,0.76780,0.74187
0.43988,0.812,0.78828,0.73813
0.98701,0.625,0.76510,0.75500
0.94355,0.688,0.76885,0.75000
0.73747,0.750,0.80748,0.72750
0.97464,0.750,0.82800,0.72188
0.89165,0.750,0.77591,0.73438
0.49779,0.750,0.77993,0.73000
0.61261,0.688,0.77271,0.74125
0.41715,0.938,0.82314,0.72250
0.48642,0.875,0.78795,0.74187
0.70309,0.750,0.76329,0.75250
0.73478,0.812,0.78714,0.73438
0.20258,0.938,0.74230,0.75625
0.48614,0.812,0.78345,0.74125
0.78767,0.875,0.76779,0.74375
0.25556,1.000,0.72363,0.75250
0.22371,0.938,0.79292,0.74000
1.12642,0.750,0.82204,0.73313
0.74558,0.750,0.74347,0.75000
0.37352,0.875,0.76562,0.75000
0.30057,0.938,0.76502,0.73000
0.67325,0.688,0.83434,0.71625
0.65366,0.750,0.75357,0.74813
0.25650,0.875,0.75892,0.74625
0.51486,0.688,0.75142,0.75250
0.85477,0.562,0.83130,0.71750
0.27216,0.875,0.76619,0.74375
0.71591,0.812,0.72579,0.76125
0.63287,0.688,0.72468,0.75687
0.50184,0.812,0.75990,0.74125
0.50219,0.875,0.80235,0.74125
0.22186,0.875,0.75511,0.74625
0.34927,0.938,0.73722,0.75562
0.50857,0.812,0.76582,0.74187
0.66025,0.688,0.73219,0.74813
0.90082,0.750,0.77540,0.74813
0.64610,0.688,0.81595,0.72875
0.58352,0.812,0.71507,0.76375
0.71365,0.750,0.73983,0.75375
0.61017,0.688,0.72548,0.75500
0.39426,0.938,0.69729,0.77250
0.43626,0.812,0.71357,0.75313
0.73819,0.625,0.74833,0.75000
1.19388,0.562,0.77538,0.74750
0.35221,0.875,0.75649,0.75687
0.18772,0.875,0.74008,0.75562
0.17463,1.000,0.71086,0.75687
0.57795,0.875,0.72491,0.76000
0.31616,0.875,0.76592,0.74687
0.72645,0.812,0.74002,0.75687
0.57435,0.750,0.76335,0.74562
0.20088,0.938,0.76557,0.74875
0.44334,0.750,0.71407,0.77000
0.33905,0.750,0.73096,0.75938
0.42444,0.812,0.75998,0.75062
0.53781,0.812,0.73661,0.75813
0.47994,0.812,0.76856,0.75000
0.44073,0.750,0.71375,0.76875
0.76266,0.750,0.74157,0.75438
0.37481,0.938,0.73837,0.75625
0.17692,1.000,0.71817,0.76062
0.32687,0.875,0.72817,0.75187
0.11663,1.000,0.74129,0.75313
0.68422,0.750,0.81257,0.73000
0.55171,0.938,0.81580,0.73000
0.69772,0.875,0.74906,0.76062
0.37839,0.875,0.73891,0.76187
0.72561,0.625,0.77765,0.74375
1.04768,0.812,0.75205,0.75187
0.26964,0.875,0.76848,0.74875
0.34165,0.875,0.74551,0.75062
0.45297,0.812,0.74413,0.75875
1.18172,0.562,0.75373,0.75813
0.53767,0.812,0.80119,0.74438
0.94933,0.625,0.73003,0.75875
0.45766,0.812,0.78720,0.73938
0.29784,0.875,0.80229,0.74687
0.21230,0.938,0.72098,0.76875
0.40710,0.812,0.71013,0.76938
0.79806,0.688,0.73574,0.75750
0.36007,0.875,0.74646,0.74625
0.41733,0.812,0.75376,0.75313
0.35720,0.875,0.74488,0.75625
0.48525,0.688,0.77796,0.75062
0.25118,0.938,0.73792,0.76250
0.29021,0.938,0.78033,0.74187
0.40664,0.812,0.77078,0.74250
0.74989,0.750,0.77601,0.75000
0.72806,0.750,0.95580,0.69063
0.31491,0.875,0.77608,0.75187
0.32574,0.875,0.77301,0.74375
0.10888,1.000,0.74938,0.75313
0.52201,0.875,0.72110,0.75438
0.64184,0.812,0.73678,0.76875
1.15039,0.750,0.76991,0.74500
0.53932,0.812,0.78064,0.73875
1.29051,0.688,0.74508,0.75938
0.30299,0.875,0.72726,0.76875
0.38858,0.938,0.73473,0.75500
0.65378,0.750,0.75989,0.75187
0.16421,1.000,0.73957,0.76687
0.43721,0.812,0.76228,0.74562
0.36052,0.875,0.71924,0.77000
0.63477,0.688,0.71658,0.77375
0.28422,0.938,0.75682,0.76250
